"Stats Area","Postcode","Year","Area Speed","Entity Code","CSEF Severity","Drugs Involved"
"2 Metropolitan",5251,2019,110,"Driver Rider","3: SI","Y"
"2 Metropolitan",5016,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5255,2019,100,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5162,2019,60,"Driver Rider","3: SI","Y"
"3 Country",5723,2019,50,"Driver Rider","2: MI","Y"
"3 Country",5290,2019,60,"Driver Rider","3: SI","Y"
"1 City",5000,2019,50,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5087,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5174,2019,80,"Animal","2: MI","Y"
"2 Metropolitan",5011,2019,50,"Driver Rider","4: Fatal","Y"
"2 Metropolitan",5037,2019,50,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5162,2019,60,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5009,2019,40,"Driver Rider","2: MI","Y"
"2 Metropolitan",5157,2019,80,"Driver Rider","3: SI","Y"
"2 Metropolitan",5243,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5039,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5085,2019,50,"Driver Rider","2: MI","Y"
"3 Country",5602,2019,110,"Driver Rider","3: SI","Y"
"2 Metropolitan",5109,2019,80,"Driver Rider","3: SI","Y"
"2 Metropolitan",5025,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5094,2019,60,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5098,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5501,2019,110,"Driver Rider","3: SI","Y"
"2 Metropolitan",5157,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5085,2019,60,"Pedestrian","4: Fatal","Y"
"3 Country",5523,2019,110,"Driver Rider","2: MI","Y"
"2 Metropolitan",5158,2019,80,"Driver Rider","3: SI","Y"
"3 Country",5253,2019,50,"Driver Rider","3: SI","Y"
"3 Country",5556,2019,100,"Animal","2: MI","Y"
"3 Country",5213,2019,80,"Driver Rider","1: PDO","Y"
"3 Country",5279,2019,100,"Animal","1: PDO","Y"
"2 Metropolitan",5251,2019,60,"Driver Rider","3: SI","Y"
"3 Country",5214,2019,100,"Driver Rider","2: MI","Y"
"3 Country",5276,2019,110,"Driver Rider","2: MI","Y"
"2 Metropolitan",5160,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5093,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5070,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5096,2019,70,"Driver Rider","4: Fatal","Y"
"3 Country",5732,2019,100,"Driver Rider","4: Fatal","Y"
"3 Country",5255,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5252,2019,110,"Driver Rider","2: MI","Y"
"2 Metropolitan",5116,2019,90,"Driver Rider","3: SI","Y"
"2 Metropolitan",5115,2019,60,"Driver Rider","3: SI","Y"
"1 City",5000,2019,50,"Driver Rider","1: PDO","Y"
"3 Country",5373,2019,50,"Driver Rider","1: PDO","Y"
"3 Country",5272,2019,100,"Driver Rider","3: SI","Y"
"2 Metropolitan",5048,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5068,2019,60,"Driver Rider","3: SI","Y"
"3 Country",5153,2019,80,"Driver Rider","3: SI","Y"
"2 Metropolitan",5093,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5024,2019,50,"Driver Rider","1: PDO","Y"
"3 Country",5501,2019,110,"Driver Rider","2: MI","Y"
"2 Metropolitan",5108,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5333,2019,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5121,2019,80,"Driver Rider","3: SI","Y"
"3 Country",5201,2019,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5032,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5254,2019,110,"Driver Rider","3: SI","Y"
"3 Country",5259,2019,100,"Driver Rider","2: MI","Y"
"2 Metropolitan",5114,2019,40,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5113,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5116,2019,80,"Driver Rider","3: SI","Y"
"3 Country",5554,2019,100,"Driver Rider","2: MI","Y"
"2 Metropolitan",5125,2019,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5062,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5113,2019,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5039,2019,60,"Driver Rider","3: SI","Y"
"3 Country",5355,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5081,2019,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5007,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5172,2019,100,"Driver Rider","3: SI","Y"
"2 Metropolitan",5112,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5066,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5150,2019,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5106,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5065,2019,60,"Other","2: MI","Y"
"3 Country",5272,2019,110,"Driver Rider","3: SI","Y"
"2 Metropolitan",5085,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5291,2019,20,"Driver Rider","3: SI","Y"
"2 Metropolitan",5009,2019,60,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5022,2019,50,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5108,2019,70,"Driver Rider","1: PDO","Y"
"3 Country",5352,2019,90,"Driver Rider","2: MI","Y"
"2 Metropolitan",5011,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5114,2019,100,"Driver Rider","3: SI","Y"
"2 Metropolitan",5159,2019,50,"Driver Rider","3: SI","Y"
"3 Country",5265,2019,110,"Driver Rider","3: SI","Y"
"2 Metropolitan",5072,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5373,2019,50,"Driver Rider","2: MI","Y"
"3 Country",5331,2019,110,"Driver Rider","2: MI","Y"
"2 Metropolitan",5114,2019,80,"Driver Rider","3: SI","Y"
"3 Country",5580,2019,100,"Driver Rider","4: Fatal","Y"
"2 Metropolitan",5024,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5024,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5092,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5082,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5108,2020,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5007,2020,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5084,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5116,2020,40,"Driver Rider","3: SI","Y"
"2 Metropolitan",5162,2020,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5042,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5052,2020,60,"Driver Rider","2: MI","Y"
"3 Country",5202,2020,80,"Driver Rider","3: SI","Y"
"2 Metropolitan",5013,2020,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5062,2020,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5023,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5121,2020,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5046,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5034,2020,50,"Driver Rider","1: PDO","Y"
"3 Country",5263,2020,110,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5013,2020,60,"Driver Rider","1: PDO","Y"
"3 Country",5290,2020,50,"Driver Rider","2: MI","Y"
"3 Country",5301,2020,110,"Driver Rider","3: SI","Y"
"3 Country",5680,2020,60,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5121,2020,90,"Driver Rider","2: MI","Y"
"2 Metropolitan",5041,2020,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5167,2020,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5038,2020,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5049,2020,60,"Driver Rider","2: MI","Y"
"3 Country",5570,2020,100,"Driver Rider","4: Fatal","Y"
"2 Metropolitan",5019,2020,50,"Driver Rider","1: PDO","Y"
"1 City",5000,2020,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5021,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5068,2020,60,"Driver Rider","2: MI","Y"
"3 Country",5255,2020,100,"Driver Rider","2: MI","Y"
"2 Metropolitan",5231,2020,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5114,2020,100,"Driver Rider","3: SI","Y"
"3 Country",5214,2020,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5251,2020,110,"Driver Rider","2: MI","Y"
"2 Metropolitan",5096,2020,60,"Driver Rider","4: Fatal","Y"
"1 City",5006,2020,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5233,2020,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5094,2020,60,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5113,2020,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5086,2020,60,"Driver Rider","3: SI","Y"
"3 Country",5291,2020,100,"Driver Rider","3: SI","Y"
"3 Country",5571,2020,50,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5161,2020,50,"Driver Rider","3: SI","Y"
"3 Country",5303,2020,110,"Driver Rider","2: MI","Y"
"3 Country",5356,2020,100,"Driver Rider","2: MI","Y"
"2 Metropolitan",5162,2020,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5108,2020,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5160,2020,50,"Driver Rider","1: PDO","Y"
"3 Country",5255,2020,80,"Driver Rider","4: Fatal","Y"
"3 Country",5253,2020,110,"Driver Rider","3: SI","Y"
"2 Metropolitan",5089,2020,60,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5114,2020,60,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5095,2020,80,"Driver Rider","3: SI","Y"
"2 Metropolitan",5043,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5120,2020,100,"Driver Rider","3: SI","Y"
"2 Metropolitan",5136,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5070,2020,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5163,2020,60,"Driver Rider","2: MI","Y"
"3 Country",5302,2020,110,"Driver Rider","2: MI","Y"
"3 Country",5360,2020,110,"Driver Rider","2: MI","Y"
"3 Country",5690,2020,110,"Driver Rider","2: MI","Y"
"3 Country",872,2020,100,"Driver Rider","4: Fatal","Y"
"3 Country",5213,2020,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5092,2020,100,"Driver Rider","1: PDO","Y"
"3 Country",5345,2020,90,"Driver Rider","2: MI","Y"
"2 Metropolitan",5231,2020,100,"Driver Rider","4: Fatal","Y"
"2 Metropolitan",5023,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5254,2020,110,"Driver Rider","2: MI","Y"
"2 Metropolitan",5171,2020,80,"Driver Rider","1: PDO","Y"
"3 Country",5608,2020,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5113,2020,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5084,2020,50,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5161,2020,80,"Driver Rider","1: PDO","Y"
